Diet,Pronotum,Mass0,Delta_smi,Song_week1
48,2.441346154,0.24692,-0.019479884,9.357811651
48,2.617307692,0.24867,0.030687436,9.963735633
48,2.451923077,0.22521,0.003526195,9.000359807
48,2.471153846,0.2054,0.015890879,7.548555979
48,2.461538462,0.2306,-0.035573776,5.236441963
48,2.375,0.17941,0.043450325,9.118334726
48,2.275,0.16804,0.011748335,5.241747015
48,2.572115385,0.20087,0.041135489,6.54534966
48,2.303846154,0.17634,-0.001751862,2.48490665
48,2.322115385,0.18849,0.023343479,0
48,2.457692308,0.24588,-0.010239871,7.831617276
48,2.567307692,0.21872,0.027880665,9.53517371
48,2.496153846,0.23912,0.049394222,9.649111299
48,2.328846154,0.19737,0.018502932,8.032035314
48,2.278846154,0.16818,0.024773176,7.069023427
60,2.504807692,0.23912,0.019833199,6.194405391
60,2.418269231,0.25106,-0.010064243,8.450198323
60,2.177884615,0.14442,0.022280097,7.44716836
60,2.235576923,0.17782,0.036773681,9.313077449
60,2.386538462,0.18668,0.02281927,8.306719043
60,2.333653846,0.19744,0.055402763,9.671177113
60,2.375961538,0.23826,0.010906287,8.761863373
60,2.326923077,0.19406,0.01676119,6.624065228
60,2.284615385,0.17909,0.020638663,5.572154032
60,2.505769231,0.20988,0.036869336,8.798152718
60,2.093269231,0.13316,0.019241169,7.951559331
60,2.520192308,0.21252,0.038378983,10.22314056
60,2.472115385,0.20105,0.040606353,8.038834758
60,2.360576923,0.1819,0.029391532,9.05438807
60,2.125,0.14627,0.004144939,4.955827058
60,NA,0.22012,NA,2.944438979
72,2.371153846,0.21275,0.041284869,8.762958921
72,2.620192308,0.25636,0.034685089,9.401291255
72,2.361538462,0.16347,0.053647677,9.873646711
72,NA,0.21375,NA,7.985824666
72,2.313461538,0.17705,0.024789298,7.648739789
72,2.260576923,0.1832,0.028079109,8.866017399
72,2.221153846,0.18468,0.033146184,9.59621483
72,2.3125,0.16486,0.034016402,8.513385953
72,2.264423077,0.19586,0.015843071,9.540147589
72,2.434615385,0.23334,0.001869459,9.922162093
72,2.390384615,0.20813,0.057451344,8.445911989
72,2.519230769,0.22372,0.05231227,9.699043079
72,2.447115385,0.25052,0.026281464,9.756899868
72,NA,0.24697,NA,8.76795191
72,2.514423077,0.24043,-0.013210327,6.601230119
72,2.384615385,0.20139,0.055948429,7.335633982
84,2.227884615,0.17921,0.028479912,7.61529834
84,2.399038462,0.19832,0.031943936,8.602453035
84,2.500961538,0.25102,0.014748147,7.922985959
84,2.600961538,0.24591,0.054332287,6.480044562
84,2.456730769,0.19458,0.035504668,9.481359384
84,2.755769231,0.2228,0.086140342,10.23903079
84,2.356730769,0.1803,0.027773734,7.185387016
84,2.480769231,0.22122,-0.005695467,0
84,2.578846154,0.226,0.059729741,9.1146001
84,2.5625,0.23028,0.054464607,9.377040548
84,2.359615385,0.26057,0.018253727,11.35108866
84,2.663461538,0.23218,0.059105831,6.049733455
84,2.682692308,0.24225,0.052509865,2.63905733
84,2.467307692,0.25249,0.026730992,9.55541833
84,2.331730769,0.19373,0.021053113,9.091444217
84,2.294230769,0.19572,0.024410504,6.928537818
12,2.442307692,0.1928,0.008695024,0
12,2.486538462,0.20767,-0.015091738,4.700480366
12,2.279807692,0.2173,-0.046530251,5.533389489
12,2.549038462,0.21814,-0.025331688,2.708050201
12,2.394230769,0.22123,-0.011712746,6.520621128
12,2.283653846,0.1743,NA,0
12,2.201923077,0.17556,-0.001617494,4.382026635
12,2.129807692,0.16892,NA,0
12,2.360576923,0.18741,-0.020009795,0
12,2.452884615,0.20222,0.003638015,6.580639137
12,2.3125,0.17659,0.004580205,4.060443011
12,2.634615385,0.23309,-0.027452034,3.583518938
12,2.438461538,0.22763,-0.018215799,4.934473933
12,2.515384615,0.21802,9.70E-04,0
12,NA,0.16515,NA,0
12,2.222115385,0.15524,-0.007749418,0
24,2.456730769,0.20516,2.61E-04,2.890371758
24,2.326923077,0.19047,0.016808485,7.212294469
24,2.265384615,0.16403,0.009298951,5.135798437
24,2.169230769,0.16084,0.007617321,7.945909599
24,2.384615385,0.20081,7.05E-05,8.694837159
24,2.505769231,0.22604,-0.003911077,7.289610521
24,2.355769231,0.1854,0.003690182,6.73459166
24,NA,0.23308,NA,0
24,2.634615385,0.23913,0.018232,0
24,2.375,0.19017,0.012729081,5.81711116
24,2.285576923,0.15563,0.009567088,3.33220451
24,2.25,0.2397,-0.021009459,10.24309772
24,2.214423077,0.1522,0.014761882,6.490723535
24,2.25,0.19772,-0.005328297,8.460834458
24,2.481730769,0.24226,-0.007664724,9.249176396
24,2.384615385,0.19486,0.010343661,5.616771098
36,2.476923077,0.28081,-0.022835763,8.370547611
36,2.454807692,0.20911,0.021633298,3.258096538
36,2.336538462,0.18381,0.032511587,8.502485563
36,2.616346154,0.24567,0.045745108,7.478734826
36,2.426923077,0.2012,0.019576101,7.721791777
36,2.442307692,0.20345,0.001638348,9.391911647
36,2.428846154,0.20485,6.76E-04,0
36,2.504807692,0.2512,-0.009802353,5.988961417
36,2.231730769,0.18416,0.00333143,5.793013608
36,2.576923077,0.25065,0.014142128,8.616133139
36,2.4375,0.20084,0.015299448,8.661812881
36,2.543269231,0.21647,-0.024745444,4.543294782
36,2.350961538,0.17834,0.005535498,4.343805422
36,2.298076923,0.18311,0.020319676,5.288267031
36,2.457692308,0.19994,0.017987787,7.33171497
36,2.459615385,0.18178,0.02634344,0
48,2.629807692,0.24926,-0.008581568,6.835184586
48,2.511538462,0.2181,-0.001357414,7.491645474
48,2.397115385,0.22661,0.008594802,5.587248658
48,2.307692308,0.20406,-0.006963394,4.709530201
48,2.689423077,0.27539,0.036699005,10.57709507
48,2.490384615,0.24656,-0.048190333,6.137727054
48,2.519230769,0.2252,0.018017125,6.333279628
48,2.496153846,0.27305,0.002751673,6.289715571
48,2.496153846,0.23449,0.003872724,7.68386398
48,2.514423077,0.24093,0.027528244,8.681350778
48,2.375,0.24689,-0.039592726,8.998878325
48,2.397115385,0.20046,-2.35E-04,6.74051936
48,2.490384615,0.20636,0.03966894,7.095064377
48,2.313461538,0.20867,NA,0
48,2.509615385,0.22413,-0.008139989,0
48,2.409615385,0.2005,NA,0
60,2.247115385,0.17807,0.01479068,7.940227765
60,2.548076923,0.21662,0.020042827,7.304515946
60,2.307692308,0.17782,0.027399845,8.004365565
60,2.342307692,0.2012,0.030264635,9.022805248
60,2.529807692,0.23381,0.004523615,10.21884559
60,2.438461538,0.20963,0.040366979,9.951610828
60,2.601923077,0.23943,0.043313071,9.031811613
60,2.472115385,0.2256,0.03943544,11.03334008
60,2.352884615,0.19045,0.0374576,0
60,2.600961538,0.23746,0.013211881,5.726847748
60,2.260576923,0.15543,0.01667005,8.377241231
60,2.2375,0.16957,0.025887343,7.713337889
60,2.329807692,0.19973,0.012772188,3.583518938
60,2.6875,0.26383,0.053490337,8.003028666
60,2.3125,0.16515,0.03260138,8.092545264
60,2.384615385,0.22513,-0.014533498,9.265680467
72,2.390384615,0.2098,0.00181404,9.335738781
72,2.377884615,0.19959,0.016688362,7.958227192
72,2.211538462,0.18825,-0.0046662,0
72,2.449038462,0.2592,0.020565015,11.08115745
72,2.428846154,0.21408,0.019953726,5.616771098
72,2.467307692,0.22863,0.020279063,10.20791612
72,2.534615385,0.22074,0.044290963,8.797246237
72,2.250961538,0.19561,0.023186985,9.183996397
72,2.575961538,0.25211,0.057066801,9.099855639
72,2.4375,0.22489,0.021201882,8.454253392
72,2.5625,0.25106,0.059381803,8.628913441
72,2.524038462,0.21147,0.030688283,9.266626183
72,2.524038462,0.22065,0.033472831,9.053920453
72,2.259615385,0.17144,0.016686975,4.983606622
72,2.374038462,0.20761,0.004172241,0
